Profile	RequestedByMETABOLICv4	PresentInKOfam2026_06_01	CompatibilityAction
K00912.hmm	true	true	included
K03146.hmm	true	true	included
K12635.hmm	true	true	included
K13519.hmm	true	true	included
K23304.hmm	true	true	included
K26065.hmm	true	true	included
K02636.hmm	true	true	included
K15022.hmm	true	true	included
K24557.hmm	true	true	included
K01523.hmm	true	true	included
K13312.hmm	true	true	included
K17747.hmm	true	true	included
K23558.hmm	true	true	included
K12917.hmm	true	true	included
K18686.hmm	true	true	included
K01736.hmm	true	true	included
K14188.hmm	true	true	included
K00202.hmm	true	true	included
K24259.hmm	true	true	included
K21056.hmm	true	true	included
K16006.hmm	true	true	included
K26489.hmm	true	true	included
K09662.hmm	true	true	included
K00343.hmm	true	true	included
K14759.hmm	true	true	included
K01116.hmm	true	true	included
K00164.hmm	true	true	included
K22433.hmm	true	true	included
K00008.hmm	true	true	included
K21723.hmm	true	true	included
K13039.hmm	true	true	included
K15971.hmm	true	true	included
K22094.hmm	true	true	included
K03229.hmm	true	true	included
K00193.hmm	true	true	included
K19855.hmm	true	true	included
K12098.hmm	true	true	included
K00503.hmm	true	true	included
K00771.hmm	true	true	included
K18062.hmm	true	true	included
K11784.hmm	true	true	included
K00041.hmm	true	true	included
K01733.hmm	true	true	included
K22917.hmm	true	true	included
K20170.hmm	true	true	included
K06125.hmm	true	true	included
K02142.hmm	true	true	included
K06215.hmm	true	true	included
K11785.hmm	true	true	included
K13498.hmm	true	true	included
K13226.hmm	true	true	included
K15728.hmm	true	true	included
K00152.hmm	true	true	included
K02575.hmm	true	true	included
K01676.hmm	true	true	included
K00772.hmm	true	true	included
K25570.hmm	true	true	included
K12096.hmm	true	true	included
K00603.hmm	true	true	included
K01500.hmm	true	true	included
K18287.hmm	true	true	included
K15036.hmm	true	true	included
K15017.hmm	true	true	included
K12099.hmm	true	true	included
K00336.hmm	true	true	included
K01655.hmm	true	true	included
K00334.hmm	true	true	included
K00435.hmm	true	true	included
K24561.hmm	true	true	included
K19079.hmm	true	true	included
K10250.hmm	true	true	included
K15320.hmm	true	true	included
K00529.hmm	true	true	included
K13223.hmm	true	true	included
K12101.hmm	true	true	included
K13066.hmm	true	true	included
K00750.hmm	true	true	included
K00278.hmm	true	true	included
K21165.hmm	true	true	included
K03856.hmm	true	true	included
K18280.hmm	true	true	included
K06720.hmm	true	true	included
K01549.hmm	true	true	included
K09251.hmm	true	true	included
K22906.hmm	true	true	included
K11820.hmm	true	true	included
K07545.hmm	true	true	included
K01755.hmm	true	true	included
K02257.hmm	true	true	included
K02046.hmm	true	true	included
K12918.hmm	true	true	included
K07660.hmm	true	true	included
K02271.hmm	true	true	included
K13065.hmm	true	true	included
K09479.hmm	true	true	included
K18256.hmm	true	true	included
K02552.hmm	true	true	included
K07538.hmm	true	true	included
K00251.hmm	true	true	included
K00468.hmm	true	true	included
K18978.hmm	true	true	included
K18284.hmm	true	true	included
K07690.hmm	true	true	included
K00172.hmm	true	true	included
K26175.hmm	true	true	included
K05934.hmm	true	true	included
K12102.hmm	true	true	included
K17836.hmm	true	true	included
K15231.hmm	true	true	included
K17225.hmm	true	true	included
K09018.hmm	true	true	included
K21221.hmm	true	true	included
K09949.hmm	true	true	included
K12340.hmm	true	true	included
K00886.hmm	true	true	included
K00241.hmm	true	true	included
K13767.hmm	true	true	included
K11395.hmm	true	true	included
K25528.hmm	true	true	included
K01490.hmm	true	true	included
K18898.hmm	true	true	included
K10933.hmm	true	true	included
K12673.hmm	true	true	included
