Feature	DNAPrevalence	RNAPrevalence	ProteinPrevalence	EC	Description	MinimumPrevalence	Selected
1.1.99.33: Formate dehydrogenase (acceptor)	0.4731182795698925	0.15053763440860216	0.0	1.1.99.33	Formate dehydrogenase (acceptor)	0.0	False
1.10.2.2: Quinol--cytochrome-c reductase	0.05913978494623656	0.06451612903225806	0.0	1.10.2.2	Quinol--cytochrome-c reductase	0.0	False
1.10.3.14: Ubiquinol oxidase (electrogenic, non H(+)-transporting)	0.4946236559139785	0.3870967741935484	0.010752688172043012	1.10.3.14	Ubiquinol oxidase (electrogenic, non H(+)-transporting)	0.010752688172043012	False
1.11.1.10: Chloride peroxidase	0.3924731182795699	0.026881720430107527	0.0	1.11.1.10	Chloride peroxidase	0.0	False
1.11.1.15: Peroxiredoxin	0.989247311827957	0.989247311827957	0.15053763440860216	1.11.1.15	Peroxiredoxin	0.15053763440860216	True
1.11.1.1: NADH peroxidase	0.21505376344086022	0.2956989247311828	0.11290322580645161	1.11.1.1	NADH peroxidase	0.11290322580645161	True
1.11.1.21: Catalase peroxidase	0.08602150537634409	0.06989247311827956	0.021505376344086023	1.11.1.21	Catalase peroxidase	0.021505376344086023	False
1.11.1.6: Catalase	0.9838709677419355	0.9838709677419355	0.1935483870967742	1.11.1.6	Catalase	0.1935483870967742	True
1.11.1.7: Peroxidase	0.0	0.06989247311827956	0.0	1.11.1.7	Peroxidase	0.0	False
1.12.7.2: Ferredoxin hydrogenase	0.9838709677419355	0.7365591397849462	0.010752688172043012	1.12.7.2	Ferredoxin hydrogenase	0.010752688172043012	False
1.12.98.1: Coenzyme F420 hydrogenase	0.043010752688172046	0.04838709677419355	0.0	1.12.98.1	Coenzyme F420 hydrogenase	0.0	False
1.12.99.6: Hydrogenase (acceptor)	0.7741935483870968	0.5860215053763441	0.10752688172043011	1.12.99.6	Hydrogenase (acceptor)	0.10752688172043011	True
1.13.11.24: Quercetin 2,3-dioxygenase	0.45161290322580644	0.22043010752688172	0.0	1.13.11.24	Quercetin 2,3-dioxygenase	0.0	False
1.13.11.3: Protocatechuate 3,4-dioxygenase	0.0913978494623656	0.0	0.0	1.13.11.3	Protocatechuate 3,4-dioxygenase	0.0	False
1.14.11.17: Taurine dioxygenase	0.41935483870967744	0.0967741935483871	0.0	1.14.11.17	Taurine dioxygenase	0.0	False
1.14.12.17: Nitric oxide dioxygenase	0.41935483870967744	0.15591397849462366	0.005376344086021506	1.14.12.17	Nitric oxide dioxygenase	0.005376344086021506	False
1.14.12.19: 3-phenylpropanoate dioxygenase	0.2849462365591398	0.04838709677419355	0.0	1.14.12.19	3-phenylpropanoate dioxygenase	0.0	False
1.14.13.149: Phenylacetyl-CoA 1,2-epoxidase	0.15053763440860216	0.016129032258064516	0.0	1.14.13.149	Phenylacetyl-CoA 1,2-epoxidase	0.0	False
1.14.13.24: 3-hydroxybenzoate 6-monooxygenase	0.08064516129032258	0.016129032258064516	0.0	1.14.13.24	3-hydroxybenzoate 6-monooxygenase	0.0	False
1.14.14.5: Alkanesulfonate monooxygenase	0.4032258064516129	0.03763440860215054	0.0	1.14.14.5	Alkanesulfonate monooxygenase	0.0	False
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase	0.25806451612903225	0.043010752688172046	0.005376344086021506	1.14.14.9	4-hydroxyphenylacetate 3-monooxygenase	0.005376344086021506	False
1.15.1.1: Superoxide dismutase	0.989247311827957	0.9946236559139785	0.8870967741935484	1.15.1.1	Superoxide dismutase	0.8870967741935484	True
1.15.1.2: Superoxide reductase	0.9247311827956989	0.8709677419354839	0.10215053763440861	1.15.1.2	Superoxide reductase	0.10215053763440861	True
1.16.1.3: Aquacobalamin reductase	0.41935483870967744	0.16666666666666666	0.0	1.16.1.3	Aquacobalamin reductase	0.0	False
1.16.3.1: Ferroxidase	0.9139784946236559	0.8279569892473119	0.005376344086021506	1.16.3.1	Ferroxidase	0.005376344086021506	False
1.16.3.2: Bacterial non-heme ferritin	0.9946236559139785	0.9946236559139785	0.7096774193548387	1.16.3.2	Bacterial non-heme ferritin	0.7096774193548387	True
1.17.1.2: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0.9946236559139785	0.9946236559139785	0.5913978494623656	1.17.1.2	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	0.5913978494623656	True
1.17.1.4: Xanthine dehydrogenase	0.9731182795698925	0.7688172043010753	0.0	1.17.1.4	Xanthine dehydrogenase	0.0	False
