Feature	EC	Description	LayerPair	Subjects	SpearmanRho	PValue	QValue	BH05
5.2.1.8: Peptidylprolyl isomerase	5.2.1.8	Peptidylprolyl isomerase	DNA–Protein	76	-0.1206594849250704	0.29915324488036665	0.4330860737809345	False
5.3.1.12: Glucuronate isomerase	5.3.1.12	Glucuronate isomerase	DNA–Protein	76	-0.04235422800243434	0.7163962883180157	0.8051804437078554	False
5.3.1.14: L-rhamnose isomerase	5.3.1.14	L-rhamnose isomerase	DNA–Protein	76	0.4389967162869637	7.277383673055465e-05	0.0003377562187082801	True
5.3.1.17: 5-dehydro-4-deoxy-D-glucuronate isomerase	5.3.1.17	5-dehydro-4-deoxy-D-glucuronate isomerase	DNA–Protein	76	0.4320278114969069	9.739250936357429e-05	0.00043170050498797817	True
5.3.1.1: Triose-phosphate isomerase	5.3.1.1	Triose-phosphate isomerase	DNA–Protein	76	0.09777170198222829	0.4007719427223523	0.5414538746711233	False
5.3.1.25: L-fucose isomerase	5.3.1.25	L-fucose isomerase	DNA–Protein	76	-0.3709400620496134	0.0009712847814936875	0.0034676185185453364	True
5.3.1.4: L-arabinose isomerase	5.3.1.4	L-arabinose isomerase	DNA–Protein	76	0.18391225326898417	0.11175917189514141	0.20701279667187023	False
5.3.1.5: Xylose isomerase	5.3.1.5	Xylose isomerase	DNA–Protein	76	0.6003220030801252	9.926638153760644e-09	1.0305417767522564e-07	True
5.3.1.6: Ribose-5-phosphate isomerase	5.3.1.6	Ribose-5-phosphate isomerase	DNA–Protein	76	0.12693868174858378	0.2745199174581379	0.4094446405944628	False
5.3.1.9: Glucose-6-phosphate isomerase	5.3.1.9	Glucose-6-phosphate isomerase	DNA–Protein	76	0.13790935003295532	0.23482280337833542	0.360831086917031	False
5.4.2.10: Phosphoglucosamine mutase	5.4.2.10	Phosphoglucosamine mutase	DNA–Protein	76	0.1586592905007955	0.17102282807783611	0.28527909377042854	False
5.4.2.11: Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	5.4.2.11	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)	DNA–Protein	76	0.10547118306506152	0.36452824769013076	0.5054706281678615	False
5.4.2.12: Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	5.4.2.12	Phosphoglycerate mutase (2,3-diphosphoglycerate-independent)	DNA–Protein	76	0.0537806395216286	0.6445026322586325	0.74235412679133	False
5.4.2.2: Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	5.4.2.2	Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)	DNA–Protein	76	0.268272095322229	0.01912382062749826	0.04805316711814054	True
5.4.2.7: Phosphopentomutase	5.4.2.7	Phosphopentomutase	DNA–Protein	76	-0.201744257216323	0.08052717638553147	0.1624960157754075	False
5.4.2.8: Phosphomannomutase	5.4.2.8	Phosphomannomutase	DNA–Protein	76	0.20766045449063658	0.07185815838741388	0.1484190758315957	False
