#mpa_vJan26_CHOCOPhlAnSGB_202605
#${BIOBAKERY_ENV_PREFIX}/bin/metaphlan ${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R1.fastq.gz,${PROJECT_ROOT}/data/raw/article13/ERR9765746_clean_R2.fastq.gz --input_type fastq --db_dir ${METAPHLAN_DB_DIR} --index mpa_vJan26_CHOCOPhlAnSGB_202605 --offline --bowtie2_exe ${BIOBAKERY_ENV_PREFIX}/bin/bowtie2 --mapout ${WORK_DIR}/ERR9765746-full.mapout.bz2 --tmp_dir ${WORK_DIR}/tmp --nproc 8 --read_min_len 70 --perc_nonzero 0.33 --stat tavg_g --stat_q 0.2 -t rel_ab_w_read_stats --tax_lev a --sample_id ERR9765746_MOCK1 --output_file ${PROJECT_ROOT}/data/small/15-metaphlan-frozen/profile-all.tsv
#199929 reads processed
#SampleID	ERR9765746_MOCK1
#Estimated reads mapped to known clades: 261721
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria|p__Chlorobiota|c__Chlorobiia|o__Chlorobiales|f__Chlorobiaceae|g__Chlorobaculum	2|1090|191410|191411|191412|256319	0.54523	0.0003003016186200018	5187
k__Archaea|p__Thermoproteota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Pyrobaculum	2157|28889|183924|2266|2267|2276	0.52779	0.00029069835780594404	2919
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Wolinella	2|29547|3031852|213849|72293|843	0.41939	0.00023099084427539207	2856
k__Archaea|p__Methanobacteriota|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus	2157|28890|183988|68985|183713|2319	0.11779	6.487915938138804e-05	3887
k__Bacteria|p__Chloroflexota|c__Chloroflexia|o__Chloroflexales|f__Chloroflexaceae|g__Chloroflexus	2|200795|32061|32064|1106|1107	0.09591	5.282637857466467e-05	9587
k__Bacteria|p__Cyanobacteriota|c__Cyanophyceae|o__Nostocales|f__Nostocaceae|g__Trichormus	2|1117|3028117|1161|1162|264688	0.07206	3.9690564455104396e-05	21291
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana	2|200918|188708|2419|188709|2335|2337	14.51883	0.007996690560745028	15534
k__Archaea|p__Methanobacteriota|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae|g__Methanocaldococcus|s__Methanocaldococcus_jannaschii	2157|28890|183939|2182|196117|196118|2190	10.48936	0.005777336553204488	12045
k__Bacteria|p__Thermotogota|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila	2|200918|188708|2419|188709|2335|93929	10.33244	0.005690904969036624	11899
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus_fervidus	2157|28890|183925|2158|2178|2179|2180	9.16649	0.00504872567573879	6579
