Feature	PathwayID	Description	Subjects	MedianLog2RNAoverDNA	MeanLog2RNAoverDNA	CILow	CIHigh	PValue	QValue	BH05
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	100	-1.473944936641264	-1.4147214215434585	-1.6582319026663854	-1.2628197653321998	5.988879490693734e-17	3.948917414176181e-16	True
COLANSYN-PWY: colanic acid building blocks biosynthesis	COLANSYN-PWY	colanic acid building blocks biosynthesis	97	-0.6976393934528161	-0.7008084097797048	-0.8909051826943778	-0.46872366981815583	2.0599322336780752e-11	4.9391556966599304e-11	True
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	103	-1.065157745227136	-1.0428180769301654	-1.1839542832632433	-0.9292145672303272	1.4868022892114251e-18	2.4008567814757344e-17	True
DAPLYSINESYN-PWY: L-lysine biosynthesis I	DAPLYSINESYN-PWY	L-lysine biosynthesis I	102	-0.2671043885293337	-0.1467862899887752	-0.48455090080363644	0.08450150466608405	0.1901158828630305	0.20892943377135123	False
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	101	-0.41516871368131153	-0.48485330756467016	-0.5861281098665104	-0.19831898366887674	1.5280836943223037e-07	2.6646748719174054e-07	True
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	103	-0.6416131995077027	-0.7082492368604313	-0.7657439413027487	-0.5854940386834151	1.3300103881342149e-16	7.795338663786648e-16	True
FASYN-ELONG-PWY: fatty acid elongation -- saturated	FASYN-ELONG-PWY	fatty acid elongation -- saturated	98	1.1644246303812076	1.1970954487252905	0.8498451438141578	1.448164366054082	5.991363036840559e-12	1.5049733342539977e-11	True
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	98	0.9024621419748113	1.0726442221065915	0.6769804375655168	1.2002101223988342	3.602155051664859e-10	7.755660366339646e-10	True
FUCCAT-PWY: fucose degradation	FUCCAT-PWY	fucose degradation	82	0.1770468633513902	0.29604885014179444	-0.16982470530032343	0.544742729911718	0.13477902129658814	0.15455637768250052	False
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	102	-0.42712210123605227	-0.381571216530065	-0.5595993525150665	-0.23742618801379273	3.3994461433903918e-06	5.475443788208952e-06	True
GALACTUROCAT-PWY: D-galacturonate degradation I	GALACTUROCAT-PWY	D-galacturonate degradation I	103	0.3228275216833305	0.2577689995304242	0.19639278415937284	0.5430356596158286	0.0014995450987371904	0.002015312202761447	True
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	102	-0.1808214819097786	-0.2653791114802738	-0.45648555058449614	-0.05486717532054809	0.003945080515776661	0.005138345610054787	True
GLUCONEO-PWY: gluconeogenesis I	GLUCONEO-PWY	gluconeogenesis I	80	1.945626627630745	1.952287475763018	1.7101272736412767	2.224778037311552	1.0516677393479781e-13	3.3119685522749757e-13	True
