contigIdx	contigIdxMate	AvgCoverage
329	329	2.65562
330	330	19.2079
330	1755	0.231312
330	2109	0.0123082
330	6155	0.0123082
330	6429	0.0244523
330	7157	0.0123082
330	8251	0.0123082
330	8270	0.0123082
330	12798	0.0123082
330	12834	0.0123082
330	13182	0.0123082
330	13789	0.0123082
330	14237	0.0123082
330	14962	0.206121
331	331	3.59858
331	1458	0.26643
332	332	19.0403
332	3779	2.57526
332	4201	2.00384
332	15436	3.42857
333	333	2.49347
334	334	2.24023
334	610	0.0794451
335	335	2.66547
336	336	2.73867
337	337	7.34626
337	10476	0.0572917
338	338	2.30435
339	339	2.84824
340	340	1.99607
341	341	2.67988
342	342	3.49865
343	343	2.68502
343	14269	0.135379
344	344	1.72682
345	345	2.17091
346	346	2.22344
346	8784	0.234375
347	347	3.17601
348	348	4.58492
348	6460	0.293706
349	349	3.24973
349	15241	0.0798722
350	350	2.95214
351	351	3.00748
352	352	5.47502
352	10167	0.172001
352	18266	0.137693
353	353	2.53592
353	17259	0.471348
354	354	9.60915
354	1656	0.0138482
354	5492	0.00360629
354	5586	0.00360629
354	7127	0.00360629
354	9575	0.00353416
354	12191	0.00360629
354	13182	0.00360629
354	15897	0.00360629
354	17435	0.0144011
355	355	5.02998
356	356	2.33464
356	15896	0.146771
357	357	3.39709
358	358	2.35452
359	359	3.93013
360	360	2.761
361	361	1.60331
362	362	3.7859
363	363	15.3778
363	2109	0.00169805
363	2509	0.00167479
363	2832	0.019167
363	3619	0.00174457
363	4591	0.00174457
363	5282	0.00174457
363	6074	0.00174457
363	9301	0.00150033
363	10633	0.00159338
363	10712	0.00174457
363	11876	0.00174457
363	12138	0.00345425
363	12524	0.00170968
363	12825	0.00157011
363	12834	0.00174457
363	13133	0.00170968
363	13691	0.00658285
363	15897	0.00174457
363	16984	0.0581756
363	17502	0.00174457
363	17729	0.00174457
364	364	2.08811
364	4782	0.622907
365	365	3.79674
366	366	7.34336
366	4822	0.00905633
366	6810	0.00905633
366	8937	0.0813258
367	165	0.00630457
367	261	0.0244167
367	367	11.4545
367	907	0.00324978
367	925	0.00279481
367	2088	0.00324978
367	3057	0.00324978
367	3353	0.00324978
367	7929	0.00324978
367	8364	0.00324978
367	9972	0.00944602
367	14429	0.00649956
367	17076	0.00281647
367	17590	0.00324978
368	368	2.69945
368	6895	0.275353
369	369	6.37772
369	9965	0.0202446
369	11092	0.100272
370	370	2.58369
370	879	0.432179
371	371	2.33547
372	372	2.2712
373	373	2.51243
374	374	3.44186
374	10446	0.0917993
375	375	111.6
375	575	0.477909
375	2340	0.080819
375	2662	0.966595
375	2975	1.12446
375	3342	1.44612
375	3419	0.158405
375	4659	2.47575
375	5468	1.68265
375	5593	2.97306
375	5883	7.04741
375	5905	0.080819
375	5947	0.080819
375	6720	9.46821
375	7312	4.0194
375	7824	1.77586
375	8188	0.16056
375	8913	0.241379
375	9289	1.91218
375	9792	1.77425
375	10394	0.080819
375	10757	0.792565
375	11418	0.080819
375	12430	1.21067
375	12603	1.59752
375	12657	1.67834
375	12687	0.0797414
375	12825	0.080819
375	12993	0.241918
375	13182	0.080819
375	14523	1.68804
375	14552	0.080819
375	15281	0.560345
375	17137	0.322198
375	17564	0.321121
375	17729	0.0802802
376	376	1.6944
377	377	15.6296
377	4228	0.11139
377	6639	0.223982
377	13954	0.0163809
378	378	3.05749
378	4784	0.406571
