LKTFeature	Gram	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species	LKT
LKT__g__Streptococcus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Unclassified	LKT__g__Streptococcus
LKT__s__Prevotella_baroniae	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella_baroniae	LKT__s__Prevotella_baroniae
LKT__g__Coprobacillus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Coprobacillus	s__Unclassified	LKT__g__Coprobacillus
LKT__s__Victivallales_bacterium	negative	d__Bacteria	k__Bacteria	p__Lentisphaerae	c__Lentisphaeria	o__Victivallales	f__Missing	g__Missing	s__Victivallales_bacterium_CCUG_44730	LKT__s__Victivallales_bacterium
LKT__s__Muribaculum_Unclassified	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Muribaculum	s__Muribaculum_Unclassified_H5	LKT__s__Muribaculum_Unclassified
LKT__s__Sharpea_azabuensis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Sharpea	s__Sharpea_azabuensis	LKT__s__Sharpea_azabuensis
LKT__g__Enterobacter	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Enterobacter	s__Unclassified	LKT__g__Enterobacter
LKT__s__Flintibacter_Unclassified	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Missing	g__Flintibacter	s__Flintibacter_Unclassified_KGMB00164	LKT__s__Flintibacter_Unclassified
LKT__s__Blautia_hansenii	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Blautia	s__Blautia_hansenii	LKT__s__Blautia_hansenii
LKT__s__Sutterella_faecalis	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella_faecalis	LKT__s__Sutterella_faecalis
LKT__g__Butyricimonas	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Butyricimonas	s__Unclassified	LKT__g__Butyricimonas
LKT__g__Megasphaera	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__Megasphaera	s__Unclassified	LKT__g__Megasphaera
LKT__f__Coriobacteriaceae	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Unclassified	s__Unclassified	LKT__f__Coriobacteriaceae
LKT__g__Coprococcus	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Coprococcus	s__Unclassified	LKT__g__Coprococcus
LKT__g__Phascolarctobacterium	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unclassified	LKT__g__Phascolarctobacterium
LKT__g__Collinsella	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Unclassified	LKT__g__Collinsella
LKT__s__Desulfovibrio_desulfuricans	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_desulfuricans	LKT__s__Desulfovibrio_desulfuricans
LKT__s__Butyricimonas_paravirosa	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Odoribacteraceae	g__Butyricimonas	s__Butyricimonas_paravirosa	LKT__s__Butyricimonas_paravirosa
LKT__g__Sutterella	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Unclassified	LKT__g__Sutterella
LKT__s__Streptococcus_parasanguinis	positive	d__Bacteria	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__Streptococcus_parasanguinis	LKT__s__Streptococcus_parasanguinis
LKT__s__Collinsella_intestinalis	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__Collinsella_intestinalis	LKT__s__Collinsella_intestinalis
LKT__g__Duncaniella	negative	d__Bacteria	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__Duncaniella	s__Unclassified	LKT__g__Duncaniella
LKT__s__Bifidobacterium_pseudocatenulatum	positive	d__Bacteria	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__Bifidobacterium_pseudocatenulatum	LKT__s__Bifidobacterium_pseudocatenulatum
LKT__s__Desulfovibrio_legallii	negative	d__Bacteria	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio_legallii	LKT__s__Desulfovibrio_legallii
LKT__s__Microviridae_Unclassified	N_A	d__Viruses	k__Viruses	p__Missing	c__Missing	o__Missing	f__Microviridae	g__Missing	s__Microviridae_Unclassified	LKT__s__Microviridae_Unclassified
