Model	HorizonDays	FalsePositiveRate	TruePositiveRate	AUC
Clinical	365	0.910714285714286	0.960258662389572	0.629307099758868
Clinical	365	0.928571428571428	0.960258662389572	0.629307099758868
Clinical	365	0.928571428571428	0.980447567402429	0.629307099758868
Clinical	365	0.946428571428571	0.980447567402429	0.629307099758868
Clinical	365	0.964285714285714	0.980447567402429	0.629307099758868
Clinical	365	0.982142857142857	0.980447567402429	0.629307099758868
Clinical	365	1	0.980447567402429	0.629307099758868
Clinical	365	1	1	0.629307099758868
Clinical + Faecalibacterium	365	0	0	0.676617003633348
Clinical + Faecalibacterium	365	0	0.0195524325975712	0.676617003633348
Clinical + Faecalibacterium	365	0.0178571428571429	0.0195524325975712	0.676617003633348
Clinical + Faecalibacterium	365	0.0357142857142857	0.0195524325975712	0.676617003633348
Clinical + Faecalibacterium	365	0.0535714285714286	0.0195524325975712	0.676617003633348
Clinical + Faecalibacterium	365	0.0535714285714286	0.0391048651951424	0.676617003633348
Clinical + Faecalibacterium	365	0.0714285714285714	0.0391048651951424	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.0391048651951424	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.0586572977927137	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.0782097303902849	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.0977621629878561	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.117314595585427	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.136867028182999	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.15641946078057	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.175971893378141	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.195524325975712	0.676617003633348
Clinical + Faecalibacterium	365	0.0892857142857143	0.215076758573283	0.676617003633348
Clinical + Faecalibacterium	365	0.107142857142857	0.215076758573283	0.676617003633348
Clinical + Faecalibacterium	365	0.107142857142857	0.234629191170855	0.676617003633348
