hotspring	ProcessID	Element	Process	RecoveredMAGCarrierFraction	RecruitmentRate	Samples
AB20	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.2439375	4
AB20	three_hp	Carbon	3-hydroxypropionate bicycle	0.0	0.2439375	4
AB20	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.05811536840585204	0.2439375	4
AB22	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.1375775	24
AB22	cbb	Carbon	Calvin-Benson-Bassham fixation	0.11026433619177091	0.1375775	24
AB22	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.0007229969200159639	0.1375775	24
AB22	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.12735105295586524	0.1375775	24
AB22	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.04539155202346719	0.1375775	24
AB22	hao	Nitrogen	Hydroxylamine oxidation	0.07324426937047156	0.1375775	24
AB22	mcr	Carbon	Methyl-coenzyme M reductase	0.0	0.1375775	24
AB22	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.18897899390775874	0.1375775	24
AB22	n_fix	Nitrogen	Nitrogen fixation	0.0879532884081551	0.1375775	24
AB22	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.028708969503147122	0.1375775	24
AB22	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.03249735609221022	0.1375775	24
AB22	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.08140173456310523	0.1375775	24
AB22	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.012165468619608238	0.1375775	24
AB22	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.1375775	24
AB22	rtca	Carbon	Reverse TCA fixation	0.002344983842146994	0.1375775	24
AB22	sox	Sulfur	Thiosulfate oxidation by Sox	0.020525427717382826	0.1375775	24
AB22	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.04232516331415302	0.1375775	24
AB22	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.1375775	24
AB22	three_hp	Carbon	3-hydroxypropionate bicycle	0.057784032565011925	0.1375775	24
AB22	wood_ljungdahl	Carbon	Wood-Ljungdahl fixation	0.04223277101909646	0.1375775	24
AB31	anammox	Nitrogen	Anaerobic ammonium oxidation	0.0	0.104125	4
AB31	cbb	Carbon	Calvin-Benson-Bassham fixation	0.08106808106808108	0.104125	4
AB31	cummo	Carbon/Nitrogen	Copper membrane monooxygenase	0.004282504282504283	0.104125	4
AB31	dnra_nitrite	Nitrogen	Dissimilatory nitrite reduction to ammonium	0.11692100519811692	0.104125	4
AB31	dsr	Sulfur	DsrAB sulfite/sulfide axis	0.02768900571702769	0.104125	4
AB31	hao	Nitrogen	Hydroxylamine oxidation	0.10324915615276196	0.104125	4
AB31	mcr	Carbon	Methyl-coenzyme M reductase	0.004036995963004037	0.104125	4
AB31	n2o_to_n2	Nitrogen	Nitrous oxide reduction to dinitrogen	0.25913625913625915	0.104125	4
AB31	n_fix	Nitrogen	Nitrogen fixation	0.05025405025405026	0.104125	4
AB31	nar_nxr	Nitrogen	NarGH/NxrAB oxidoreductase family	0.022194022194022195	0.104125	4
AB31	nitrate_to_nitrite	Nitrogen	Respiratory nitrate reduction	0.017008499829517007	0.104125	4
AB31	nitrite_to_no	Nitrogen	Nitrite reduction to nitric oxide	0.1779952612599278	0.104125	4
AB31	no_to_n2o	Nitrogen	Nitric oxide reduction to nitrous oxide	0.018687518687518688	0.104125	4
AB31	phs	Sulfur	Thiosulfate/polysulfide reduction	0.0	0.104125	4
AB31	rtca	Carbon	Reverse TCA fixation	0.013227002414013226	0.104125	4
AB31	sox	Sulfur	Thiosulfate oxidation by Sox	0.015955001127015953	0.104125	4
AB31	sulfate_to_sulfite	Sulfur	Dissimilatory sulfate reduction to sulfite	0.02278399772802278	0.104125	4
AB31	sulfur_reduction	Sulfur	Elemental sulfur reduction	0.0	0.104125	4
