Category	CheckID	Status	Detail
branch	standard8-mock-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
branch	standard8-human-c050-h2-input-conservation	PASS	0+20000
branch	standard8-human-c050-h2-output-rows	PASS	20000
branch	standard8-human-c050-h2-output-report-parity	PASS	0;20000
branch	standard8-human-c050-h2-paired-structure	PASS	20000;20000
branch	standard8-human-c050-h2-bracken-rank	PASS	0
branch	standard8-human-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	standard8-human-c050-h2-human-compatible-partition	PASS	0+0+0
branch	standard16-mock-c000-h2-input-conservation	PASS	90834+9157
branch	standard16-mock-c000-h2-output-rows	PASS	99991
branch	standard16-mock-c000-h2-output-report-parity	PASS	90834;9157
branch	standard16-mock-c000-h2-paired-structure	PASS	99991;99991
branch	standard16-mock-c000-h2-bracken-rank	PASS	74
branch	standard16-mock-c000-h2-bracken-outcome	PASS	estimated
branch	standard16-human-c000-h2-input-conservation	PASS	19522+478
branch	standard16-human-c000-h2-output-rows	PASS	20000
branch	standard16-human-c000-h2-output-report-parity	PASS	19522;478
branch	standard16-human-c000-h2-paired-structure	PASS	20000;20000
branch	standard16-human-c000-h2-bracken-rank	PASS	2
branch	standard16-human-c000-h2-bracken-outcome	PASS	estimated
control	standard16-human-c000-h2-human-compatible-partition	PASS	14497+3684+1341
branch	standard16-mock-c005-h2-input-conservation	PASS	87268+12723
branch	standard16-mock-c005-h2-output-rows	PASS	99991
branch	standard16-mock-c005-h2-output-report-parity	PASS	87268;12723
branch	standard16-mock-c005-h2-paired-structure	PASS	99991;99991
branch	standard16-mock-c005-h2-bracken-rank	PASS	54
branch	standard16-mock-c005-h2-bracken-outcome	PASS	estimated
branch	standard16-human-c005-h2-input-conservation	PASS	17966+2034
branch	standard16-human-c005-h2-output-rows	PASS	20000
branch	standard16-human-c005-h2-output-report-parity	PASS	17966;2034
branch	standard16-human-c005-h2-paired-structure	PASS	20000;20000
branch	standard16-human-c005-h2-bracken-rank	PASS	1
branch	standard16-human-c005-h2-bracken-outcome	PASS	estimated
control	standard16-human-c005-h2-human-compatible-partition	PASS	1926+16039+1
branch	standard16-mock-c010-h2-input-conservation	PASS	65882+34109
branch	standard16-mock-c010-h2-output-rows	PASS	99991
branch	standard16-mock-c010-h2-output-report-parity	PASS	65882;34109
branch	standard16-mock-c010-h2-paired-structure	PASS	99991;99991
branch	standard16-mock-c010-h2-bracken-rank	PASS	49
branch	standard16-mock-c010-h2-bracken-outcome	PASS	estimated
branch	standard16-human-c010-h2-input-conservation	PASS	10728+9272
branch	standard16-human-c010-h2-output-rows	PASS	20000
branch	standard16-human-c010-h2-output-report-parity	PASS	10728;9272
branch	standard16-human-c010-h2-paired-structure	PASS	20000;20000
branch	standard16-human-c010-h2-bracken-rank	PASS	1
branch	standard16-human-c010-h2-bracken-outcome	PASS	estimated
control	standard16-human-c010-h2-human-compatible-partition	PASS	69+10658+1
branch	standard16-mock-c020-h2-input-conservation	PASS	7519+92472
branch	standard16-mock-c020-h2-output-rows	PASS	99991
branch	standard16-mock-c020-h2-output-report-parity	PASS	7519;92472
branch	standard16-mock-c020-h2-paired-structure	PASS	99991;99991
branch	standard16-mock-c020-h2-bracken-rank	PASS	34
branch	standard16-mock-c020-h2-bracken-outcome	PASS	estimated
branch	standard16-human-c020-h2-input-conservation	PASS	1382+18618
branch	standard16-human-c020-h2-output-rows	PASS	20000
branch	standard16-human-c020-h2-output-report-parity	PASS	1382;18618
branch	standard16-human-c020-h2-paired-structure	PASS	20000;20000
branch	standard16-human-c020-h2-bracken-rank	PASS	0
branch	standard16-human-c020-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	standard16-human-c020-h2-human-compatible-partition	PASS	4+1378+0
branch	standard16-mock-c050-h2-input-conservation	PASS	0+99991
branch	standard16-mock-c050-h2-output-rows	PASS	99991
branch	standard16-mock-c050-h2-output-report-parity	PASS	0;99991
branch	standard16-mock-c050-h2-paired-structure	PASS	99991;99991
branch	standard16-mock-c050-h2-bracken-rank	PASS	0
branch	standard16-mock-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
branch	standard16-human-c050-h2-input-conservation	PASS	0+20000
branch	standard16-human-c050-h2-output-rows	PASS	20000
branch	standard16-human-c050-h2-output-report-parity	PASS	0;20000
branch	standard16-human-c050-h2-paired-structure	PASS	20000;20000
branch	standard16-human-c050-h2-bracken-rank	PASS	0
branch	standard16-human-c050-h2-bracken-outcome	PASS	no_eligible_species_above_threshold
control	standard16-human-c050-h2-human-compatible-partition	PASS	0+0+0
