Term	GenesWithTerm	FractionalGeneEquivalent	MOCK1FractionalRawReads	MOCK2FractionalRawReads
ko:K01494	23	20.5	295.0	313.0
ko:K01520	23	20.5	292.0	267.0
ko:K01778	23	23.0	750.0	729.0
ko:K01880	23	23.0	1307.0	1190.0
ko:K01975	23	23.0	481.0	492.0
ko:K02009	23	20.5	298.6666666666667	276.0
ko:K02055	23	17.0	233.0	245.5
ko:K02108	23	23.0	708.0	598.0
ko:K02114	23	23.0	251.0	273.0
ko:K02356	23	23.0	342.0	391.0
ko:K02834	23	23.0	281.0	268.0
ko:K02879	23	23.0	294.0	298.0
ko:K02939	23	23.0	362.0	349.0
ko:K03092	23	23.0	644.0	658.0
ko:K03215	23	23.0	1156.0	1198.0
ko:K03545	23	23.0	1036.0	1139.0
ko:K03551	23	23.0	1052.0	948.0
ko:K03587	23	21.0	1469.0	1390.5
ko:K03590	23	23.0	970.0	939.0
ko:K03595	23	22.25	717.5	691.5
ko:K03628	23	23.0	1051.0	1030.0
ko:K03631	23	23.0	983.0	944.0
ko:K03644	23	22.5	470.0	494.5
ko:K03687	23	23.0	507.0	526.0
ko:K03699	23	20.0	547.75	606.75
ko:K03718	23	21.5	336.0	313.5
ko:K03787	23	23.0	687.0	822.0
ko:K05349	23	23.0	2282.0	2334.0
ko:K06218	23	20.333333333333336	228.66666666666666	264.66666666666663
ko:K06997	23	23.0	585.0	579.0
ko:K07460	23	23.0	242.0	256.0
ko:K09022	23	23.0	317.0	314.0
ko:K11175	23	23.0	455.0	458.0
ko:K11754	23	23.0	1070.0	1104.0
