OuterTestCohort	Lambda	MeanInnerAUROC	SEInnerAUROC	Selected
IT-B	0.00125892541179417	0.7187441827592	0.0150715022357598	FALSE
IT-B	0.001	0.712551430891095	0.0150389144646753	FALSE
IT-B	0.000794328234724282	0.707564557342607	0.0157367838252681	FALSE
IT-B	0.000630957344480194	0.704357726396158	0.0149804551756719	FALSE
IT-B	0.000501187233627273	0.703450347285153	0.015410876498715	FALSE
IT-B	0.000398107170553497	0.703960660128572	0.0148350046902947	FALSE
IT-B	0.000316227766016838	0.702272002404683	0.0151574103458017	FALSE
IT-B	0.000251188643150958	0.698672520624937	0.0158435363864761	FALSE
IT-B	0.000199526231496888	0.698653019804642	0.0159263819166986	FALSE
IT-B	0.000158489319246111	0.697558686919579	0.0167935034777976	FALSE
IT-B	0.000125892541179417	0.695743870480709	0.0169308814613482	FALSE
IT-B	0.0001	0.695939045294519	0.0160336830676606	FALSE
JP	1	0.5	0	FALSE
JP	0.794328234724281	0.5	0	FALSE
JP	0.630957344480193	0.5	0	FALSE
JP	0.501187233627272	0.5	0	FALSE
JP	0.398107170553497	0.5	0	FALSE
JP	0.316227766016838	0.5	0	FALSE
JP	0.251188643150958	0.5	0	FALSE
JP	0.199526231496888	0.540883470613512	0.0209344500162735	FALSE
JP	0.158489319246111	0.697369166700632	0.0292148024898229	FALSE
JP	0.125892541179417	0.7192151659474	0.0374713486956783	FALSE
JP	0.1	0.769345997918324	0.0290530502093674	FALSE
JP	0.0794328234724282	0.771039937212834	0.0288605670681351	FALSE
JP	0.0630957344480193	0.78322431775215	0.0195100061273433	FALSE
JP	0.0501187233627272	0.789744345472071	0.0161835425481105	FALSE
JP	0.0398107170553497	0.797104294504456	0.0127828701239357	FALSE
JP	0.0316227766016838	0.801052516628136	0.0122471668363456	FALSE
JP	0.0251188643150958	0.805910638734641	0.0116045170178153	FALSE
JP	0.0199526231496888	0.80874013999981	0.0136026206754677	FALSE
JP	0.0158489319246111	0.808523942852557	0.0150108460749014	FALSE
JP	0.0125892541179417	0.801476717484639	0.015168570168593	FALSE
JP	0.01	0.794839294757415	0.0148288917773715	FALSE
JP	0.00794328234724282	0.789322811472957	0.014541519641519	FALSE
JP	0.00630957344480194	0.782221128473794	0.01453464630381	FALSE
JP	0.00501187233627273	0.773175553010746	0.0144071758254912	FALSE
JP	0.00398107170553497	0.761837935125147	0.0156815564164454	FALSE
JP	0.00316227766016838	0.750053821417019	0.0163712111719455	FALSE
JP	0.00251188643150958	0.740459859670458	0.0158975115685489	FALSE
JP	0.00199526231496888	0.730505687157441	0.0148350237988353	FALSE
JP	0.00158489319246111	0.724148104052182	0.0137740504846613	FALSE
JP	0.00125892541179417	0.717619538577256	0.0137714795062034	FALSE
JP	0.001	0.712702414186111	0.0133326380461669	FALSE
JP	0.000794328234724282	0.7075693688625	0.0136429624852526	FALSE
JP	0.000630957344480194	0.704922264637128	0.0132009859999235	FALSE
JP	0.000501187233627273	0.703216847357631	0.013236646019875	FALSE
JP	0.000398107170553497	0.702485484906205	0.0135424058307453	FALSE
JP	0.000316227766016838	0.701388342160289	0.0138012964489515	FALSE
JP	0.000251188643150958	0.699480882520101	0.0136017832665126	FALSE
