Cohort	Threshold	FPR	TPR
DE	0.543626549812166	0.0461538461538462	0.566666666666667
DE	0.537631832801189	0.0461538461538462	0.583333333333333
DE	0.5280891401422	0.0461538461538462	0.6
DE	0.515205762959814	0.0615384615384615	0.6
DE	0.512385836862268	0.0615384615384615	0.616666666666667
DE	0.511076322455252	0.0615384615384615	0.633333333333333
DE	0.504563700870118	0.0615384615384615	0.65
DE	0.496223877516643	0.0769230769230769	0.65
DE	0.493833940812413	0.0769230769230769	0.666666666666667
DE	0.493565993683364	0.0923076923076923	0.666666666666667
DE	0.4925195109067	0.107692307692308	0.666666666666667
DE	0.490343501930506	0.107692307692308	0.683333333333333
DE	0.490160942568295	0.123076923076923	0.683333333333333
DE	0.486186508886694	0.138461538461538	0.683333333333333
DE	0.483473888956198	0.153846153846154	0.683333333333333
DE	0.476466619123075	0.169230769230769	0.683333333333333
DE	0.473657213056159	0.169230769230769	0.7
DE	0.473203525585542	0.169230769230769	0.716666666666667
DE	0.466960335665342	0.184615384615385	0.716666666666667
DE	0.465987371128761	0.2	0.716666666666667
DE	0.462664726130569	0.215384615384615	0.716666666666667
DE	0.461536618473414	0.215384615384615	0.733333333333333
DE	0.461233017405009	0.230769230769231	0.733333333333333
DE	0.459458248577404	0.230769230769231	0.75
DE	0.458052539336042	0.246153846153846	0.75
DE	0.448153623238053	0.261538461538462	0.75
DE	0.442731086163123	0.261538461538462	0.766666666666667
DE	0.436873556299426	0.276923076923077	0.766666666666667
DE	0.427751187591751	0.276923076923077	0.783333333333333
DE	0.422418450564095	0.292307692307692	0.783333333333333
DE	0.422187903572193	0.307692307692308	0.783333333333333
DE	0.41914872884036	0.323076923076923	0.783333333333333
DE	0.414442642769372	0.338461538461538	0.783333333333333
DE	0.408007556902906	0.353846153846154	0.783333333333333
DE	0.401895595597901	0.369230769230769	0.783333333333333
DE	0.399840959833854	0.384615384615385	0.783333333333333
DE	0.39589060793933	0.4	0.783333333333333
DE	0.385895338954382	0.4	0.8
DE	0.385756002281035	0.4	0.816666666666667
DE	0.38433526755834	0.4	0.833333333333333
DE	0.383963644078127	0.4	0.85
DE	0.383627167488532	0.415384615384615	0.85
DE	0.378672783083271	0.415384615384615	0.866666666666667
DE	0.376423787236659	0.430769230769231	0.866666666666667
