sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM2_t1Q14	MV_FEM2	mn2	mn2	EX_mn2_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	zn2	zn2	EX_zn2_m	-0.0011191628932348	0.0011191628932348	Import
MV_FEM2_t1Q14	MV_FEM2	thymd	thymd	EX_thymd_m	-0.001110636541286	0.001110636541286	Import
MV_FEM2_t1Q14	MV_FEM2	o2	Oxygen	EX_o2_m	-0.001	0.001	Import
MV_FEM2_t1Q14	MV_FEM2	orn	orn	EX_orn_m	-0.0009803038027264	0.0009803038027264	Import
MV_FEM2_t1Q14	MV_FEM2	spmd	spmd	EX_spmd_m	-0.0009737605020145	0.0009737605020145	Import
MV_FEM2_t1Q14	MV_FEM2	q8	q8	EX_q8_m	-0.0009434691942867	0.0009434691942867	Import
MV_FEM2_t1Q14	MV_FEM2	mqn8	mqn8	EX_mqn8_m	-0.0009317807280961	0.0009317807280961	Import
MV_FEM2_t1Q14	MV_FEM2	nac	nac	EX_nac_m	0.0009009446617937	0.0009009446617937	Export
MV_FEM2_t1Q14	MV_FEM2	but	Butyrate	EX_but_m	0.0008828631650021	0.0008828631650021	Export
MV_FEM2_t1Q14	MV_FEM2	ptrc	ptrc	EX_ptrc_m	-0.000796867577251	0.000796867577251	Import
MV_FEM2_t1Q14	MV_FEM2	arab_L	arab L	EX_arab_L_m	-0.0006192125895202	0.0006192125895202	Import
MV_FEM2_t1Q14	MV_FEM2	thm	thm	EX_thm_m	-0.0005143773461937	0.0005143773461937	Import
MV_FEM2_t1Q14	MV_FEM2	pydx	pydx	EX_pydx_m	-0.0004808535834568	0.0004808535834568	Import
MV_FEM2_t1Q14	MV_FEM2	pheme	pheme	EX_pheme_m	-0.0004726552365694	0.0004726552365694	Import
MV_FEM2_t1Q14	MV_FEM2	inulin	inulin	EX_inulin_m	-0.000470195	0.000470195	Import
MV_FEM2_t1Q14	MV_FEM2	xan	xan	EX_xan_m	-0.0003228437168739	0.0003228437168739	Import
MV_FEM2_t1Q14	MV_FEM2	arabinoxyl	arabinoxyl	EX_arabinoxyl_m	-0.000306649	0.000306649	Import
MV_FEM2_t1Q14	MV_FEM2	ocdcea	ocdcea	EX_ocdcea_m	-0.0002699683428435	0.0002699683428435	Import
MV_FEM2_t1Q14	MV_FEM2	cytd	cytd	EX_cytd_m	-0.0002278070240793	0.0002278070240793	Import
MV_FEM2_t1Q14	MV_FEM2	ddca	ddca	EX_ddca_m	-0.0002271044381299	0.0002271044381299	Import
